,WG,period,score,topic_id,topic_title,tpsum,share,tscore
1083,1,AR4,13.783912464660899,9126,"{cloud, radiat, feedback}",16.268069535411357,0.8472985952424722,272.198447595023
1084,2,AR4,1.9266256251486695,9126,"{cloud, radiat, feedback}",16.268069535411357,0.11842988628459615,272.198447595023
1085,3,AR4,0.557531445601787,9126,"{cloud, radiat, feedback}",16.268069535411357,0.03427151847293166,272.198447595023
1086,1,AR4,0.963597553597922,9170,"{technolog, ccs, captur}",7.660512676880941,0.1257876064230026,445.02836459204804
1087,2,AR4,3.02169139739226,9170,"{technolog, ccs, captur}",7.660512676880941,0.39445028353148986,445.02836459204804
1088,3,AR4,3.67522372589076,9170,"{technolog, ccs, captur}",7.660512676880941,0.4797621100455076,445.02836459204804
1089,1,AR4,1.36614625732943,9216,"{fuel, fossil, engin}",4.5640689528537575,0.29932638429470376,671.206368108204
1090,2,AR4,0.8241398339424971,9216,"{fuel, fossil, engin}",4.5640689528537575,0.1805712933909972,671.206368108204
1091,3,AR4,2.37378286158183,9216,"{fuel, fossil, engin}",4.5640689528537575,0.5201023223142991,671.206368108204
1092,1,AR4,1.4237929051021698,9173,"{ghg, greenhous, mitig}",4.31147465704941,0.3302333930629093,297.048885045954
1093,2,AR4,1.12378113840912,9173,"{ghg, greenhous, mitig}",4.31147465704941,0.2606489027070353,297.048885045954
1094,3,AR4,1.76390061353812,9173,"{ghg, greenhous, mitig}",4.31147465704941,0.4091177042300554,297.048885045954
1095,1,AR4,2.6961603021550697,9223,"{forest, stand, tropic}",10.944184587818013,0.24635552155764714,671.249743731471
1096,2,AR4,6.99749954862605,9223,"{forest, stand, tropic}",10.944184587818013,0.6393806219620032,671.249743731471
1097,3,AR4,1.25052473703689,9223,"{forest, stand, tropic}",10.944184587818013,0.11426385648034948,671.249743731471
1098,1,AR4,13.735911338059699,9169,"{scenario, project, futur}",40.27648437617396,0.3410404743812581,908.9513751955119
1099,2,AR4,21.712266944489002,9169,"{scenario, project, futur}",40.27648437617396,0.5390804902856208,908.9513751955119
1100,3,AR4,4.82830609362526,9169,"{scenario, project, futur}",40.27648437617396,0.11987903533312115,908.9513751955119
1101,1,AR4,0.0233414604582617,9129,"{biochar, amend, pyrolysi}",0.0631894205835391,0.3693887401199272,92.9158640325001
1102,2,AR4,0.0248229708436905,9129,"{biochar, amend, pyrolysi}",0.0631894205835391,0.3928342848289529,92.9158640325001
1103,3,AR4,0.0150249892815869,9129,"{biochar, amend, pyrolysi}",0.0631894205835391,0.2377769750511199,92.9158640325001
1104,1,AR4,5.46721582277035,9174,"{veget, ndvi, cover}",13.101080145280587,0.4173103104586233,618.6916730495379
1105,2,AR4,7.212511095464362,9174,"{veget, ndvi, cover}",13.101080145280587,0.5505279729215709,618.6916730495379
1106,3,AR4,0.421353227045878,9174,"{veget, ndvi, cover}",13.101080145280587,0.03216171661980576,618.6916730495379
1107,1,AR4,8.21710832885933,9220,"{season, winter, dure}",16.571679812015695,0.4958524677082717,645.445002844219
1108,2,AR4,7.95004977737282,9220,"{season, winter, dure}",16.571679812015695,0.4797371097894642,645.445002844219
1109,3,AR4,0.404521705783543,9220,"{season, winter, dure}",16.571679812015695,0.024410422502264058,645.445002844219
1110,1,AR4,1.19311788256449,9175,"{polici, tax, govern}",18.72324953594846,0.06372386803229403,770.885380576313
1111,2,AR4,6.459291342229968,9175,"{polici, tax, govern}",18.72324953594846,0.34498772928428856,770.885380576313
1112,3,AR4,11.070840311154,9175,"{polici, tax, govern}",18.72324953594846,0.5912884026834173,770.885380576313
1113,1,AR4,0.6672851119840839,9130,"{build, construct, design}",1.378551685537287,0.4840479461051264,190.35641834217702
1114,2,AR4,0.380373647477741,9130,"{build, construct, design}",1.378551685537287,0.27592265960597,190.35641834217702
1115,3,AR4,0.330892926075462,9130,"{build, construct, design}",1.378551685537287,0.2400293942889035,190.35641834217702
1116,1,AR4,13.717951871598403,9179,"{ozon, stratospher, tropospher}",18.66174430066256,0.7350841191791148,289.691852476719
1117,2,AR4,4.07828024994879,9179,"{ozon, stratospher, tropospher}",18.66174430066256,0.2185369268940201,289.691852476719
1118,3,AR4,0.8655121791153679,9179,"{ozon, stratospher, tropospher}",18.66174430066256,0.0463789539268652,289.691852476719
1119,1,AR4,6.7034970499550495,9222,"{land, use, cover}",17.20554075569984,0.38961269193090137,559.703288958735
1120,2,AR4,7.22403212603595,9222,"{land, use, cover}",17.20554075569984,0.4198666132386904,559.703288958735
1121,3,AR4,3.27801157970884,9222,"{land, use, cover}",17.20554075569984,0.19052069483040815,559.703288958735
1122,1,AR4,2.08804421276191,9180,"{inject, storag, reservoir}",5.287745031302499,0.3948836792245207,447.889183971166
1123,2,AR4,2.10218123344534,9180,"{inject, storag, reservoir}",5.287745031302499,0.39755722354251294,447.889183971166
1124,3,AR4,1.09751958509525,9180,"{inject, storag, reservoir}",5.287745031302499,0.20755909723296628,447.889183971166
1125,1,AR4,1.16690396341556,9224,"{speci, distribut, rang}",13.250719036871269,0.08806344472089016,913.048736499592
1126,2,AR4,11.777447850088901,9224,"{speci, distribut, rang}",13.250719036871269,0.8888157553803031,913.048736499592
1127,3,AR4,0.3063672233668089,9224,"{speci, distribut, rang}",13.250719036871269,0.023120799898806672,913.048736499592
1128,1,AR4,34.554734719119395,9166,"{forc, aerosol, radiat}",44.53469226028965,0.7759059951994075,915.0688710112461
1129,2,AR4,7.84470579532657,9166,"{forc, aerosol, radiat}",44.53469226028965,0.17614819811658328,915.0688710112461
1130,3,AR4,2.13525174584369,9166,"{forc, aerosol, radiat}",44.53469226028965,0.04794580668400924,915.0688710112461
1131,1,AR4,0.6845554838272199,9132,"{electr, generat, price}",3.857447937402972,0.17746331121920395,589.449627526893
1132,2,AR4,0.992635034567012,9132,"{electr, generat, price}",3.857447937402972,0.2573294703324769,589.449627526893
1133,3,AR4,2.18025741900874,9132,"{electr, generat, price}",3.857447937402972,0.5652072184483192,589.449627526893
1134,1,AR4,5.44460121381656,9178,"{rate, respir, higher}",12.82702303768422,0.4244633534859172,503.934520185989
